,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Date
0,00632R,元大台灣50反1,278000,281000,-3000,0,0,0,168000,0,168000,82152600,435000,0,435000,91615600,9898000,81717600,82317600,2021-06-09
1,00715L,期街口布蘭特正2,4785024,1479000,3306024,0,0,0,0,0,0,13695000,0,0,0,15307000,1612000,13695000,17001024,2021-06-09
2,00637L,元大滬深300正2,8624000,17000,8607000,0,0,0,0,0,0,4985170,0,0,0,14424220,9439050,4985170,13592170,2021-06-09
3,2618,長榮航,44712000,31651870,13060130,0,0,0,0,0,0,-1574160,5091387,5559547,-468160,196000,1302000,-1106000,11485970,2021-06-09
4,00642U,期元大S&P石油,1395000,461000,934000,0,0,0,0,0,0,9028000,0,0,0,9169000,141000,9028000,9962000,2021-06-09
5,1314,中石化,19274000,11039000,8235000,0,0,0,0,0,0,-2114187,263000,381187,-118187,223000,2219000,-1996000,6120813,2021-06-09
6,3014,聯陽,8312200,3976000,4336200,0,0,0,687000,0,687000,46469,140000,220000,-80000,256469,130000,126469,5069669,2021-06-09
7,2883,開發金,13766000,9353901,4412099,0,0,0,0,1089000,-1089000,682000,0,117000,-117000,814000,15000,799000,4005099,2021-06-09
8,3545,敦泰,12458600,8953261,3505339,0,0,0,385000,342000,43000,95000,772000,764000,8000,87000,0,87000,3643339,2021-06-09
9,2314,台揚,6996200,4983000,2013200,0,0,0,1131000,0,1131000,456000,154000,18000,136000,324000,4000,320000,3600200,2021-06-09
10,3711,日月光投控,7784463,4572400,3212063,0,0,0,16000,0,16000,-94750,2388,15000,-12612,10000,92138,-82138,3133313,2021-06-09
11,067709,大立光元富07購01,0,0,0,0,0,0,0,0,0,2923000,0,0,0,2923000,0,2923000,2923000,2021-06-09
12,035943,晶相光凱基13購01,0,0,0,0,0,0,0,0,0,2750000,0,0,0,3030000,280000,2750000,2750000,2021-06-09
13,9958,世紀鋼,2329000,1271000,1058000,0,0,0,1025000,0,1025000,661016,11094,13030,-1936,693952,31000,662952,2744016,2021-06-09
14,036219,晶相光國泰12購01,0,0,0,0,0,0,0,0,0,2644000,0,0,0,2879000,235000,2644000,2644000,2021-06-09
15,4142,國光生,3470000,824000,2646000,0,0,0,0,0,0,-28800,33000,33000,0,31200,60000,-28800,2617200,2021-06-09
16,2367,燿華,2740000,286000,2454000,0,0,0,0,0,0,-7000,0,0,0,16000,23000,-7000,2447000,2021-06-09
17,8046,南電,4552530,2750544,1801986,0,0,0,752000,7000,745000,-216467,208049,402000,-193951,100286,122802,-22516,2330519,2021-06-09
18,087682,台積電元大0B購05,0,0,0,0,0,0,0,0,0,2320000,0,0,0,2994000,674000,2320000,2320000,2021-06-09
19,2449,京元電子,9032000,6608000,2424000,0,0,0,5000,160000,-155000,42102,62672,66570,-3898,184000,138000,46000,2311102,2021-06-09
20,031343,晶相光元大0A購01,0,0,0,0,0,0,0,0,0,2110000,0,0,0,2223000,113000,2110000,2110000,2021-06-09
21,036464,永豐餘元大0C購02,0,0,0,0,0,0,0,0,0,2097000,0,0,0,2161000,64000,2097000,2097000,2021-06-09
22,2401,凌陽,10073000,9202340,870660,0,0,0,0,0,0,1004410,550717,508307,42410,1736000,774000,962000,1875070,2021-06-09
23,031064,聯陽元大0A購01,0,0,0,0,0,0,0,0,0,1834000,0,0,0,1866000,32000,1834000,1834000,2021-06-09
24,03486B,臺股指凱基07熊19,0,0,0,0,0,0,0,0,0,1822000,0,0,0,2819000,997000,1822000,1822000,2021-06-09
25,1313,聯成,4297000,2201181,2095819,0,0,0,0,0,0,-288000,0,10000,-10000,54000,332000,-278000,1807819,2021-06-09
26,8016,矽創,2371000,895000,1476000,0,0,0,546000,264000,282000,41142,50560,103548,-52988,139130,45000,94130,1799142,2021-06-09
27,00633L,富邦上証正2,1010000,20000,990000,0,0,0,0,0,0,803000,0,0,0,1786000,983000,803000,1793000,2021-06-09
28,2548,華固,2159642,323000,1836642,0,0,0,0,0,0,-44000,0,34000,-34000,0,10000,-10000,1792642,2021-06-09
29,00669R,國泰美國道瓊反1,1479000,39000,1440000,0,0,0,0,0,0,340000,0,0,0,1173000,833000,340000,1780000,2021-06-09
30,6257,矽格,1982000,214000,1768000,0,0,0,0,0,0,2000,64000,62000,2000,10000,10000,0,1770000,2021-06-09
31,3049,和鑫,2350000,570000,1780000,0,0,0,0,0,0,-30000,0,0,0,0,30000,-30000,1750000,2021-06-09
32,2383,台光電,2383767,1916000,467767,0,0,0,891000,11000,880000,377401,176377,15000,161377,254024,38000,216024,1725168,2021-06-09
33,036465,永豐餘元大0C購03,0,0,0,0,0,0,0,0,0,1666000,0,0,0,2250000,584000,1666000,1666000,2021-06-09
34,033512,南茂統一0C購01,0,0,0,0,0,0,0,0,0,1632000,0,0,0,2308000,676000,1632000,1632000,2021-06-09
35,1905,華紙,10909050,9276000,1633050,0,0,0,0,0,0,-4000,0,0,0,0,4000,-4000,1629050,2021-06-09
36,3189,景碩,5413325,4898134,515191,0,0,0,1410000,230000,1180000,-95138,112000,188138,-76138,170000,189000,-19000,1600053,2021-06-09
37,034264,光罩國票0C購02,0,0,0,0,0,0,0,0,0,1560000,0,0,0,2040000,480000,1560000,1560000,2021-06-09
38,020022,元大電動車N,0,0,0,0,0,0,0,0,0,1559000,0,0,0,3218000,1659000,1559000,1559000,2021-06-09
39,033393,晶相光元大12購01,0,0,0,0,0,0,0,0,0,1552000,0,0,0,1600000,48000,1552000,1552000,2021-06-09
40,1609,大亞,3174000,1464000,1710000,0,0,0,0,0,0,-216000,0,0,0,11000,227000,-216000,1494000,2021-06-09
41,1802,台玻,6864000,4286000,2578000,0,0,0,0,50000,-50000,-1046294,1013668,2078962,-1065294,269000,250000,19000,1481706,2021-06-09
42,4961,天鈺,4483020,3313070,1169950,0,0,0,734000,407000,327000,-24000,11000,35000,-24000,0,0,0,1472950,2021-06-09
43,3305,昇貿,3157000,1844000,1313000,0,0,0,0,0,0,155000,250000,145000,105000,50000,0,50000,1468000,2021-06-09
44,2103,台橡,3337000,1934000,1403000,0,0,0,0,0,0,41000,290000,0,290000,7000,256000,-249000,1444000,2021-06-09
45,03758C,T50反1元大0B牛09,0,0,0,0,0,0,0,0,0,1420000,0,0,0,3355000,1935000,1420000,1420000,2021-06-09
46,088325,華通元大09購02,0,0,0,0,0,0,0,0,0,1383000,0,0,0,1393000,10000,1383000,1383000,2021-06-09
47,032647,南茂統一0A購02,0,0,0,0,0,0,0,0,0,1318000,0,0,0,1318000,0,1318000,1318000,2021-06-09
48,1102,亞泥,3419000,2058700,1360300,0,0,0,0,334000,-334000,273240,151000,8760,142240,131000,0,131000,1299540,2021-06-09
49,081441,順德統一08購01,0,0,0,0,0,0,0,0,0,1291000,0,0,0,1649000,358000,1291000,1291000,2021-06-09
50,6213,聯茂,1662000,557000,1105000,0,0,0,68000,0,68000,111308,251001,223000,28001,83307,0,83307,1284308,2021-06-09
51,033795,台郡元大0B購02,0,0,0,0,0,0,0,0,0,1281000,0,0,0,1676000,395000,1281000,1281000,2021-06-09
52,071800,新光金國票06購01,0,0,0,0,0,0,0,0,0,1281000,0,0,0,1281000,0,1281000,1281000,2021-06-09
53,077393,台積電凱基0B購01,0,0,0,0,0,0,0,0,0,1224000,0,0,0,1309000,85000,1224000,1224000,2021-06-09
54,089945,南電永豐0A購01,0,0,0,0,0,0,0,0,0,1199000,0,0,0,1576000,377000,1199000,1199000,2021-06-09
55,033191,友達凱基15購01,0,0,0,0,0,0,0,0,0,1198000,0,0,0,1721000,523000,1198000,1198000,2021-06-09
56,033826,南電統一11購01,0,0,0,0,0,0,0,0,0,1167000,0,0,0,1881000,714000,1167000,1167000,2021-06-09
57,033662,欣興統一15購01,0,0,0,0,0,0,0,0,0,1164000,0,0,0,1264000,100000,1164000,1164000,2021-06-09
58,6116,彩晶,31649850,29138000,2511850,0,0,0,0,0,0,-1373000,2947584,2864584,83000,433000,1889000,-1456000,1138850,2021-06-09
59,034457,聯電群益11購02,0,0,0,0,0,0,0,0,0,1129000,0,0,0,1449000,320000,1129000,1129000,2021-06-09
60,032863,聯陽群益0A購03,0,0,0,0,0,0,0,0,0,1103000,0,0,0,1663000,560000,1103000,1103000,2021-06-09
61,084203,順德元大07購09,0,0,0,0,0,0,0,0,0,1102000,0,0,0,1126000,24000,1102000,1102000,2021-06-09
62,2308,台達電,3319000,3335215,-16215,0,0,0,1205000,1000,1204000,-90583,19417,101000,-81583,28000,37000,-9000,1097202,2021-06-09
63,07115P,臺股指麥證0B售05,0,0,0,1458000,382000,1076000,0,0,0,1076000,0,0,0,1458000,382000,1076000,1076000,2021-06-09
64,033341,友達永豐0B購02,0,0,0,0,0,0,0,0,0,1050000,0,0,0,1100000,50000,1050000,1050000,2021-06-09
65,084049,聯發科國票09購04,0,0,0,0,0,0,0,0,0,1049000,0,0,0,1121000,72000,1049000,1049000,2021-06-09
66,035100,大成鋼元大0B購13,0,0,0,0,0,0,0,0,0,1045000,0,0,0,1088000,43000,1045000,1045000,2021-06-09
67,089569,晶碩中信0B購01,0,0,0,0,0,0,0,0,0,1040000,0,0,0,1330000,290000,1040000,1040000,2021-06-09
68,086473,健策兆豐09購01,0,0,0,0,0,0,0,0,0,1035000,0,0,0,1326000,291000,1035000,1035000,2021-06-09
69,082500,台勝科統一0A購01,0,0,0,0,0,0,0,0,0,1029000,0,0,0,1033000,4000,1029000,1029000,2021-06-09
70,078333,聯電凱基08購02,0,0,0,0,0,0,0,0,0,1023000,0,0,0,1726000,703000,1023000,1023000,2021-06-09
71,035635,鴻海富邦13購03,0,0,0,0,0,0,0,0,0,1012000,0,0,0,1012000,0,1012000,1012000,2021-06-09
72,2484,希華,2278000,1297000,981000,0,0,0,0,0,0,30000,45000,15000,30000,0,0,0,1011000,2021-06-09
73,033663,欣興統一15購02,0,0,0,0,0,0,0,0,0,1008000,0,0,0,1027000,19000,1008000,1008000,2021-06-09
74,078420,深中小群益07購01,0,0,0,0,0,0,0,0,0,1002000,0,0,0,1002000,0,1002000,1002000,2021-06-09
75,083701,日月光元富07購06,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000,2021-06-09
76,035725,健策元大0B購06,0,0,0,0,0,0,0,0,0,975000,0,0,0,1304000,329000,975000,975000,2021-06-09
77,034007,友達群益0B購06,0,0,0,0,0,0,0,0,0,968000,0,0,0,978000,10000,968000,968000,2021-06-09
78,033046,玉晶光兆豐0C購01,0,0,0,0,0,0,0,0,0,963000,0,0,0,994000,31000,963000,963000,2021-06-09
79,030951,奇鋐富邦0A購01,0,0,0,0,0,0,0,0,0,962000,0,0,0,982000,20000,962000,962000,2021-06-09
80,087594,世紀鋼元大0C購01,0,0,0,0,0,0,0,0,0,953000,0,0,0,953000,0,953000,953000,2021-06-09
81,06186P,臺股指國票08售07,0,0,0,0,0,0,0,0,0,943000,0,0,0,1217000,274000,943000,943000,2021-06-09
82,8081,致新,781000,285000,496000,0,0,0,376000,0,376000,71000,0,0,0,74000,3000,71000,943000,2021-06-09
83,035441,寶成元大0B購02,0,0,0,0,0,0,0,0,0,931000,0,0,0,958000,27000,931000,931000,2021-06-09
84,086401,友達統一0B購01,0,0,0,0,0,0,0,0,0,920000,0,0,0,1320000,400000,920000,920000,2021-06-09
85,06754P,台灣50凱基0C售03,0,0,0,0,0,0,0,0,0,919000,0,0,0,1240000,321000,919000,919000,2021-06-09
86,2601,益航,5006000,4093000,913000,0,0,0,0,0,0,0,0,0,0,0,0,0,913000,2021-06-09
87,033269,旺宏富邦13購01,0,0,0,0,0,0,0,0,0,912000,0,0,0,1121000,209000,912000,912000,2021-06-09
88,087104,台積電元大11購02,0,0,0,0,0,0,0,0,0,911000,0,0,0,2670000,1759000,911000,911000,2021-06-09
89,6202,盛群,1038000,464000,574000,0,0,0,161000,20000,141000,194967,967,0,967,200000,6000,194000,909967,2021-06-09
90,035708,台橡元大0B購03,0,0,0,0,0,0,0,0,0,905000,0,0,0,909000,4000,905000,905000,2021-06-09
91,076163,中石化元大08購01,0,0,0,0,0,0,0,0,0,904000,0,0,0,904000,0,904000,904000,2021-06-09
92,085545,A50正2群益09購01,0,0,0,0,0,0,0,0,0,893000,0,0,0,993000,100000,893000,893000,2021-06-09
93,036093,大立光元大12購01,0,0,0,0,0,0,0,0,0,893000,0,0,0,898000,5000,893000,893000,2021-06-09
94,086372,滬深2X國票0A購02,0,0,0,0,0,0,0,0,0,885000,0,0,0,895000,10000,885000,885000,2021-06-09
95,084734,台積電元大0B購01,0,0,0,0,0,0,0,0,0,883000,0,0,0,1506000,623000,883000,883000,2021-06-09
96,083938,南電中信07購01,0,0,0,0,0,0,0,0,0,879000,0,0,0,1546000,667000,879000,879000,2021-06-09
97,085674,南電統一0A購05,0,0,0,0,0,0,0,0,0,873000,0,0,0,873000,0,873000,873000,2021-06-09
98,033879,華新元富0B購03,0,0,0,0,0,0,0,0,0,872000,0,0,0,940000,68000,872000,872000,2021-06-09
99,033401,正隆中信0B購01,0,0,0,0,0,0,0,0,0,868000,0,0,0,940000,72000,868000,868000,2021-06-09
100,034579,國巨凱基0B購06,0,0,0,0,0,0,0,0,0,865000,0,0,0,1030000,165000,865000,865000,2021-06-09
101,034803,長榮凱基15購01,0,0,0,0,0,0,0,0,0,863000,0,0,0,1036000,173000,863000,863000,2021-06-09
102,2338,光罩,4237000,3393000,844000,0,0,0,0,16000,-16000,28737,297737,571000,-273263,394000,92000,302000,856737,2021-06-09
103,035963,台積電元大0C購14,0,0,0,0,0,0,0,0,0,850000,0,0,0,1090000,240000,850000,850000,2021-06-09
104,031549,長榮中信0C購03,0,0,0,0,0,0,0,0,0,829000,0,0,0,829000,0,829000,829000,2021-06-09
105,031185,群創永豐0A購06,0,0,0,0,0,0,0,0,0,816000,0,0,0,1223000,407000,816000,816000,2021-06-09
106,033411,聯成永豐0B購01,0,0,0,0,0,0,0,0,0,814000,0,0,0,814000,0,814000,814000,2021-06-09
107,00875,國泰網路資安,662000,12000,650000,0,0,0,0,0,0,163244,0,0,0,256244,93000,163244,813244,2021-06-09
108,035940,奇鋐凱基11購01,0,0,0,0,0,0,0,0,0,811000,0,0,0,839000,28000,811000,811000,2021-06-09
109,034623,超豐元富0B購01,0,0,0,0,0,0,0,0,0,806000,0,0,0,947000,141000,806000,806000,2021-06-09
110,071521,旺宏元富09購01,0,0,0,0,0,0,0,0,0,803000,0,0,0,803000,0,803000,803000,2021-06-09
111,035713,順德元大0B購01,0,0,0,0,0,0,0,0,0,802000,0,0,0,1098000,296000,802000,802000,2021-06-09
112,030374,亞翔群益0A購01,0,0,0,0,0,0,0,0,0,800000,0,0,0,800000,0,800000,800000,2021-06-09
113,06062P,臺股指麥證07售08,0,0,0,800000,0,800000,0,0,0,800000,0,0,0,800000,0,800000,800000,2021-06-09
114,033740,華新富邦0B購02,0,0,0,0,0,0,0,0,0,800000,0,0,0,823000,23000,800000,800000,2021-06-09
115,6269,台郡,877740,274000,603740,0,0,0,208000,0,208000,-15335,2000,4000,-2000,4665,18000,-13335,796405,2021-06-09
116,2402,毅嘉,900000,111000,789000,0,0,0,0,0,0,0,0,0,0,0,0,0,789000,2021-06-09
117,033345,欣興永豐0B購02,0,0,0,0,0,0,0,0,0,788000,0,0,0,892000,104000,788000,788000,2021-06-09
118,3006,晶豪科,4646564,3557836,1088728,0,0,0,0,242000,-242000,-59000,345000,421000,-76000,63000,46000,17000,787728,2021-06-09
119,035353,泰豐中信0B購01,0,0,0,0,0,0,0,0,0,786000,0,0,0,786000,0,786000,786000,2021-06-09
120,2337,旺宏,4294000,4464000,-170000,0,0,0,1400000,0,1400000,-444432,185000,239432,-54432,34000,424000,-390000,785568,2021-06-09
121,033024,矽創中信0B購01,0,0,0,0,0,0,0,0,0,780000,0,0,0,820000,40000,780000,780000,2021-06-09
122,033894,燁輝統一0B購02,0,0,0,0,0,0,0,0,0,775000,0,0,0,874000,99000,775000,775000,2021-06-09
123,2233,宇隆,475000,307000,168000,0,0,0,512000,0,512000,95000,114000,19000,95000,0,0,0,775000,2021-06-09
124,034948,大成鋼凱基15購01,0,0,0,0,0,0,0,0,0,773000,0,0,0,798000,25000,773000,773000,2021-06-09
125,087687,金像電元大09購02,0,0,0,0,0,0,0,0,0,766000,0,0,0,996000,230000,766000,766000,2021-06-09
126,086557,欣興元大11購01,0,0,0,0,0,0,0,0,0,765000,0,0,0,772000,7000,765000,765000,2021-06-09
127,086256,滬深2X兆豐0A購01,0,0,0,0,0,0,0,0,0,760000,0,0,0,800000,40000,760000,760000,2021-06-09
128,036095,晶相光元大0C購02,0,0,0,0,0,0,0,0,0,754000,0,0,0,801000,47000,754000,754000,2021-06-09
129,2313,華通,1471259,681000,790259,0,0,0,5000,0,5000,-54131,41000,45131,-4131,3000,53000,-50000,741128,2021-06-09
130,033259,群創元大0B購07,0,0,0,0,0,0,0,0,0,741000,0,0,0,1062000,321000,741000,741000,2021-06-09
131,079906,精英國泰08購01,0,0,0,0,0,0,0,0,0,734000,0,0,0,734000,0,734000,734000,2021-06-09
132,07173P,長榮航凱基0B售03,0,0,0,0,0,0,0,0,0,732000,0,0,0,1018000,286000,732000,732000,2021-06-09
133,036260,永豐餘群益12購01,0,0,0,0,0,0,0,0,0,723000,0,0,0,838000,115000,723000,723000,2021-06-09
134,030375,聚鼎群益0A購01,0,0,0,0,0,0,0,0,0,706000,0,0,0,1243000,537000,706000,706000,2021-06-09
135,036062,台光電群益11購01,0,0,0,0,0,0,0,0,0,705000,0,0,0,1093000,388000,705000,705000,2021-06-09
136,085625,SGBR2X凱基08購02,0,0,0,0,0,0,0,0,0,702000,0,0,0,907000,205000,702000,702000,2021-06-09
137,1301,台塑,4749607,2958886,1790721,0,0,0,0,65000,-65000,-1024000,33000,1028000,-995000,0,29000,-29000,701721,2021-06-09
138,030387,直得元大0A購02,0,0,0,0,0,0,0,0,0,700000,0,0,0,1060000,360000,700000,700000,2021-06-09
139,082596,台積電元大07購18,0,0,0,0,0,0,0,0,0,700000,0,0,0,700000,0,700000,700000,2021-06-09
140,2105,正新,2791000,2085400,705600,0,0,0,0,0,0,-12351,81000,101351,-20351,31000,23000,8000,693249,2021-06-09
141,3026,禾伸堂,801000,142000,659000,0,0,0,0,0,0,30000,2000,2000,0,36000,6000,30000,689000,2021-06-09
142,036088,長榮航元大0C購04,0,0,0,0,0,0,0,0,0,688000,0,0,0,877000,189000,688000,688000,2021-06-09
143,070273,玉晶光元富08購02,0,0,0,0,0,0,0,0,0,688000,0,0,0,708000,20000,688000,688000,2021-06-09
144,1309,台達化,1772000,1051000,721000,0,0,0,0,0,0,-33098,1000,4098,-3098,10000,40000,-30000,687902,2021-06-09
145,034506,台光電凱基0C購01,0,0,0,0,0,0,0,0,0,684000,0,0,0,739000,55000,684000,684000,2021-06-09
146,086324,滬深2X元大09購03,0,0,0,0,0,0,0,0,0,683000,0,0,0,1040000,357000,683000,683000,2021-06-09
147,036486,長榮航麥證0C購02,0,0,0,711000,30000,681000,0,0,0,681000,0,0,0,711000,30000,681000,681000,2021-06-09
148,035728,台表科元大0B購04,0,0,0,0,0,0,0,0,0,678000,0,0,0,731000,53000,678000,678000,2021-06-09
149,06629P,長榮航凱基09售03,0,0,0,0,0,0,0,0,0,676000,0,0,0,883000,207000,676000,676000,2021-06-09
150,2605,新興,3999000,3198000,801000,0,0,0,0,0,0,-127021,3023,16844,-13821,42000,155200,-113200,673979,2021-06-09
151,033067,矽統凱基0B購01,0,0,0,0,0,0,0,0,0,673000,0,0,0,753000,80000,673000,673000,2021-06-09
152,3041,揚智,962000,292000,670000,0,0,0,0,0,0,0,0,0,0,0,0,0,670000,2021-06-09
153,087103,台積電元大11購01,0,0,0,0,0,0,0,0,0,668000,0,0,0,1110000,442000,668000,668000,2021-06-09
154,082302,乙盛元大07購02,0,0,0,0,0,0,0,0,0,668000,0,0,0,668000,0,668000,668000,2021-06-09
155,034313,晶碩永豐0B購02,0,0,0,0,0,0,0,0,0,667000,0,0,0,684000,17000,667000,667000,2021-06-09
156,00634R,富邦上証反1,0,7000,-7000,0,0,0,0,0,0,669970,0,0,0,720000,50030,669970,662970,2021-06-09
157,1760,寶齡富錦,1147000,596000,551000,0,0,0,0,0,0,102000,0,0,0,116000,14000,102000,653000,2021-06-09
158,2415,錩新,875000,223000,652000,0,0,0,0,0,0,0,0,0,0,0,0,0,652000,2021-06-09
159,085326,上証2X群益09購01,0,0,0,0,0,0,0,0,0,649000,0,0,0,649000,0,649000,649000,2021-06-09
160,1605,華新,5112200,4179000,933200,0,0,0,0,0,0,-284834,219000,228834,-9834,24000,299000,-275000,648366,2021-06-09
161,00762,元大全球AI,30000,0,30000,0,0,0,0,0,0,618000,0,0,0,618000,0,618000,648000,2021-06-09
162,030669,啟碁永豐0A購01,0,0,0,0,0,0,0,0,0,646000,0,0,0,834000,188000,646000,646000,2021-06-09
163,3019,亞光,751000,144000,607000,0,0,0,0,0,0,37025,24027,2,24025,21000,8000,13000,644025,2021-06-09
164,084312,聯發科凱基09購04,0,0,0,0,0,0,0,0,0,643000,0,0,0,748000,105000,643000,643000,2021-06-09
165,6251,定穎,2182000,1543428,638572,0,0,0,0,0,0,1,1,0,1,0,0,0,638573,2021-06-09
166,084460,明基材永豐08購01,0,0,0,0,0,0,0,0,0,638000,0,0,0,638000,0,638000,638000,2021-06-09
167,031122,聯電統一0C購01,0,0,0,0,0,0,0,0,0,637000,0,0,0,720000,83000,637000,637000,2021-06-09
168,2454,聯發科,2031827,1479944,551883,0,0,0,153000,48000,105000,-21448,37799,64308,-26509,27061,22000,5061,635435,2021-06-09
169,032418,榮成元大0B購01,0,0,0,0,0,0,0,0,0,633000,0,0,0,633000,0,633000,633000,2021-06-09
170,6672,騰輝電子-KY,1367000,839000,528000,0,0,0,0,0,0,105000,105000,0,105000,0,0,0,633000,2021-06-09
171,088759,南茂統一0B購01,0,0,0,0,0,0,0,0,0,630000,0,0,0,655000,25000,630000,630000,2021-06-09
172,030401,威盛元大0A購01,0,0,0,0,0,0,0,0,0,625000,0,0,0,625000,0,625000,625000,2021-06-09
173,035818,奇鋐兆豐11購01,0,0,0,0,0,0,0,0,0,623000,0,0,0,732000,109000,623000,623000,2021-06-09
174,034905,台橡元大0B購02,0,0,0,0,0,0,0,0,0,623000,0,0,0,658000,35000,623000,623000,2021-06-09
175,2340,光磊,952000,481000,471000,0,0,0,0,0,0,151041,41,0,41,154000,3000,151000,622041,2021-06-09
176,035419,大成鋼元大0B購14,0,0,0,0,0,0,0,0,0,621000,0,0,0,667000,46000,621000,621000,2021-06-09
177,032050,威盛國票0B購01,0,0,0,0,0,0,0,0,0,619000,0,0,0,817000,198000,619000,619000,2021-06-09
178,1515,力山,836000,328000,508000,0,0,0,0,0,0,109000,0,0,0,110000,1000,109000,617000,2021-06-09
179,087798,GIS日盛0A購01,0,0,0,0,0,0,0,0,0,616000,0,0,0,616000,0,616000,616000,2021-06-09
180,087965,日月光中信09購01,0,0,0,0,0,0,0,0,0,615000,0,0,0,615000,0,615000,615000,2021-06-09
181,030406,超豐元大0A購01,0,0,0,0,0,0,0,0,0,614000,0,0,0,841000,227000,614000,614000,2021-06-09
182,07099P,長榮凱基0B售12,0,0,0,0,0,0,0,0,0,614000,0,0,0,682000,68000,614000,614000,2021-06-09
183,084277,台積電富邦09購07,0,0,0,0,0,0,0,0,0,609000,0,0,0,610000,1000,609000,609000,2021-06-09
184,4564,元翎,1472000,881000,591000,0,0,0,0,0,0,15000,0,0,0,15000,0,15000,606000,2021-06-09
185,035548,金像電統一12購01,0,0,0,0,0,0,0,0,0,603000,0,0,0,630000,27000,603000,603000,2021-06-09
186,032955,台橡元大0C購01,0,0,0,0,0,0,0,0,0,602000,0,0,0,614000,12000,602000,602000,2021-06-09
187,084738,圓剛元大08購01,0,0,0,0,0,0,0,0,0,600000,0,0,0,600000,0,600000,600000,2021-06-09
188,034987,金像電群益0C購01,0,0,0,0,0,0,0,0,0,600000,0,0,0,856000,256000,600000,600000,2021-06-09
189,3094,聯傑,815000,216000,599000,0,0,0,0,0,0,0,0,0,0,0,0,0,599000,2021-06-09
190,034689,聯電群益0C購02,0,0,0,0,0,0,0,0,0,594000,0,0,0,1183000,589000,594000,594000,2021-06-09
191,035877,長榮航群益12購01,0,0,0,0,0,0,0,0,0,593000,0,0,0,813000,220000,593000,593000,2021-06-09
192,3605,宏致,994000,402000,592000,0,0,0,0,0,0,0,0,0,0,0,0,0,592000,2021-06-09
193,031703,台橡永豐0A購02,0,0,0,0,0,0,0,0,0,591000,0,0,0,595000,4000,591000,591000,2021-06-09
194,06906P,臺股指中信12售03,0,0,0,0,0,0,0,0,0,582000,0,0,0,679000,97000,582000,582000,2021-06-09
195,082137,大立光統一0B購01,0,0,0,0,0,0,0,0,0,580000,0,0,0,580000,0,580000,580000,2021-06-09
196,081144,奇力新凱基09購01,0,0,0,0,0,0,0,0,0,579000,0,0,0,579000,0,579000,579000,2021-06-09
197,089264,南電統一0A購10,0,0,0,0,0,0,0,0,0,579000,0,0,0,579000,0,579000,579000,2021-06-09
198,034565,友達國泰13購01,0,0,0,0,0,0,0,0,0,578000,0,0,0,641000,63000,578000,578000,2021-06-09
199,3704,合勤控,1209000,634000,575000,0,0,0,0,0,0,2000,0,8000,-8000,10000,0,10000,577000,2021-06-09
200,032379,東鋼統一0C購05,0,0,0,0,0,0,0,0,0,575000,0,0,0,600000,25000,575000,575000,2021-06-09
201,034391,智原元大0B購04,0,0,0,0,0,0,0,0,0,574000,0,0,0,746000,172000,574000,574000,2021-06-09
202,085581,奇鋐兆豐08購01,0,1000,-1000,0,0,0,0,0,0,571000,0,0,0,665000,94000,571000,570000,2021-06-09
203,032777,台船元大0A購01,0,0,0,0,0,0,0,0,0,570000,0,0,0,580000,10000,570000,570000,2021-06-09
204,082601,億光元大07購03,0,0,0,0,0,0,0,0,0,568000,0,0,0,574000,6000,568000,568000,2021-06-09
205,030971,致茂元大0A購02,0,0,0,0,0,0,0,0,0,566000,0,0,0,592000,26000,566000,566000,2021-06-09
206,034085,金像電元大0C購01,0,0,0,0,0,0,0,0,0,565000,0,0,0,1169000,604000,565000,565000,2021-06-09
207,04774P,臺股指國票09售06,0,0,0,0,0,0,0,0,0,565000,0,0,0,565000,0,565000,565000,2021-06-09
208,087986,GIS凱基09購02,0,0,0,0,0,0,0,0,0,563000,0,0,0,563000,0,563000,563000,2021-06-09
209,07033P,健策元大0B售04,0,0,0,0,0,0,0,0,0,562000,0,0,0,809000,247000,562000,562000,2021-06-09
210,078069,世紀鋼元大07購05,0,0,0,0,0,0,0,0,0,562000,0,0,0,562000,0,562000,562000,2021-06-09
211,3530,晶相光,908000,29000,879000,0,0,0,0,450000,-450000,132000,18000,0,18000,284000,170000,114000,561000,2021-06-09
212,035844,奇鋐元大0B購04,0,0,0,0,0,0,0,0,0,560000,0,0,0,654000,94000,560000,560000,2021-06-09
213,083359,健和興永豐07購03,0,0,0,0,0,0,0,0,0,559000,0,0,0,559000,0,559000,559000,2021-06-09
214,3033,威健,910000,366000,544000,0,0,0,0,0,0,12000,0,0,0,14000,2000,12000,556000,2021-06-09
215,033427,晶碩永豐0B購01,0,0,0,0,0,0,0,0,0,555000,0,0,0,556000,1000,555000,555000,2021-06-09
216,07172P,大成鋼凱基0B售07,0,0,0,0,0,0,0,0,0,555000,0,0,0,560000,5000,555000,555000,2021-06-09
